cfr_id,category,source_level,active,mandatory,requirement_en,requirement_et,assessment,evidence,gap_and_next_action,proposed_owner,sources,repo_commit,cfr_commit,review_date
1,development,required,True,True,Version source in Git,Rakenduse kood on versioneeritud kasutades Git'i.,Met,Git repository; pinned main commit; drizzle/ migrations and migration tests.,Retain complete history and migration artifacts in the receiving organisation.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
2,development,required,True,True,Maintainable and understandable source,"Rakenduse lähtekood on kirjutatud selgusega, mis võimaldab erialast ettevalmistust omaval tarkvaraarendajal süsteemi edasi arendada.",Met,src/domain/allocate.ts; src/server/rounds/engine.ts; docs/tehniline-ulevaade.md; rule-linked tests.,Strong domain separation and comments. Split the growing engine/framework modules by lifecycle when next changing them; keep specifications current.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
3,development,recommended,True,False,Publish reusable code in e-gov repository,Taaskasutatavalt disainitud rakenduse kood on e-riigi koodivaramus (koodivaramu.eesti.ee).,Not met,Source is on GitHub; no e-gov mirror is documented.,Agree licence and mirror to koodivaramu where reuse is intended.,Service owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
4,development,expected,True,False,Build without external dependencies being available,Rakenduste ehitamine pole väliselt sõltuv.,Not met,Dockerfile; pnpm-lock.yaml; .github/workflows/ci.yml fetch public packages/images/actions.,"Provide agency-controlled source, package and base-image mirrors; demonstrate a disconnected build. Lockfiles alone are insufficient.",Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
5,development,expected,True,False,Use a TIOBE top-25 programming language,"Rakenduse arenduses ei kasutata programmeerimiskeeli, mis pole Top 25 TIOBE index'is.",Not met,TypeScript source; TIOBE September 2026 lists TypeScript at 39; JavaScript is within top 25.,Literal source-language mismatch. Seek an explicit TypeScript exception supported by recruitment and maintenance evidence; this is not a reason to rewrite the application.,Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md | https://www.tiobe.com/tiobe-index/,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
6,development,required,True,True,Declare software licence and rights,Rakenduse tarkvara markeerida litsentsiga.,Not met,"No LICENSE/LICENCE/COPYING file, package licence or general source licence headers found. basic-secret-license-scan.json.",Owner must establish rights and select a suitable licence; include third-party notices. A public GitHub repository is not a licence.,Service owner / Legal,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
7,development,expected,True,False,Component end of life at least five years away,"Kõikide arendamisel kasutatavate komponentide (rakenduse, andmebaasi, kolmanda osapoole omad) eluea lõpp (inglise k End-of-Life, EOL) ei tohi teadaolevalt olla vähem kui 5 aastat.",Not met,Dockerfile and CI use Node 22; official Node schedule gives EOL 2027-04-30.,Document supported component inventory and funded upgrades; agree how the literal five-year requirement is satisfied or excepted. The current runtime expires before framework end in December 2027.,Engineering / Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md | https://github.com/nodejs/Release,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
8,development,expected,True,False,Current recovery plans,Teenuse rakendustele eksisteerivad ajakohased taasteplaanid.,Partially met,docs/juurutamine.md §7 has consistent SQLite backup and restore instructions; standalone restart test passed.,"Assign RPO/RTO, backup ownership, encryption and retention; execute a restore from independent backup. A process restart is not a backup recovery drill.",Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
9,deployment,required,True,True,Security testing before production,Rakendus peab olema läbinud enne toodangusse minemist turvatestimise.,Unverified,Authentication tests and this independent review exist; no completed formal risk-based preproduction security assessment found.,"Commission and accept a scoped assessment after fixes, including deployed proxy/identity, authorization, uploads and incident controls.",Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
10,deployment,required,True,True,No known vulnerabilities at production release without accepted exception,"Rakendus ei lähe toodangu-keskkonda, kui selles on avastatud turvalisuse nõrkuseid ja/või haavatavusi.",Not met,Reproduced authorization/business-state weaknesses; dependency-audit.json reports 3 high and 9 moderate affected-package entries.,"Fix confirmed weaknesses, triage advisory reachability, patch applicable dependencies, scan image, and record any approved risk exceptions before production.",Security / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
